Jurisdiction,"Total Allocated Vialsas of Nov 16 2022, 12pm","Total Requested as of Nov 16 2022, 12pm","Total Shipped as of Nov 16 2022, 12pm",Last Updated
All Jurisdictions,1091630,854813,854713,2022-11-17 11:13
Alabama,6163,4523,4523,2022-11-17 11:13
Alaska,660,600,600,2022-11-17 11:13
American Samoa,40,40,40,2022-11-17 11:13
Arizona,16433,12173,12173,2022-11-17 11:13
Arkansas,3280,2460,2460,2022-11-17 11:13
California,112309,114189,114189,2022-11-17 11:13
California - Los Angeles,73802,65522,65522,2022-11-17 11:13
Colorado,18145,12805,12805,2022-11-17 11:13
Connecticut,6328,6328,6328,2022-11-17 11:13
Delaware,1895,1515,1515,2022-11-17 11:13
District of Columbia,28995,27415,27415,2022-11-17 11:13
Federated States of Micronesia,20,20,20,2022-11-17 11:13
Florida,112680,74720,74720,2022-11-17 11:13
Georgia,54482,33522,33522,2022-11-17 11:13
Guam,120,80,80,2022-11-17 11:13
Hawaii,3872,3252,3252,2022-11-17 11:13
Idaho,2000,1380,1360,2022-11-17 11:13
Illinois,19198,15298,15298,2022-11-17 11:13
Illinois - Chicago,50469,40629,40629,2022-11-17 11:13
Indiana,11872,7812,7812,2022-11-17 11:13
Iowa,2441,1921,1921,2022-11-17 11:13
Kansas,2156,2156,2156,2022-11-17 11:13
Kentucky,6140,4100,4100,2022-11-17 11:13
Louisiana,11882,8862,8862,2022-11-17 11:13
Maine,1411,1271,1271,2022-11-17 11:13
Marshall Islands,20,20,20,2022-11-17 11:13
Maryland,23299,14539,14539,2022-11-17 11:13
Massachusetts,24451,18551,18491,2022-11-17 11:13
Michigan,14318,9778,9778,2022-11-17 11:13
Minnesota,10658,7938,7918,2022-11-17 11:13
Mississippi,3241,1821,1821,2022-11-17 11:13
Missouri,9073,6053,6053,2022-11-17 11:13
Montana,778,478,478,2022-11-17 11:13
Nebraska,1641,1421,1421,2022-11-17 11:13
Nevada,8682,7362,7362,2022-11-17 11:13
New Hampshire,1467,1167,1167,2022-11-17 11:13
New Jersey,22269,16149,16149,2022-11-17 11:13
New Mexico,3436,3016,3016,2022-11-17 11:13
New York,43375,34695,34695,2022-11-17 11:13
New York - New York City,118444,103104,103104,2022-11-17 11:13
North Carolina,20288,16688,16688,2022-11-17 11:13
North Dakota,555,415,415,2022-11-17 11:13
Northern Mariana Islands,60,40,40,2022-11-17 11:13
Ohio,18713,12573,12573,2022-11-17 11:13
Oklahoma,5316,4756,4756,2022-11-17 11:13
Oregon,11498,10538,10538,2022-11-17 11:13
Palau,20,20,20,2022-11-17 11:13
Pennsylvania,16747,13731,13731,2022-11-17 11:13
Pennsylvania - Philadelphia,10638,6630,6630,2022-11-17 11:13
Puerto Rico,5387,3267,3267,2022-11-17 11:13
Rhode Island,4014,2774,2774,2022-11-17 11:13
South Carolina,6387,4287,4287,2022-11-17 11:13
South Dakota,1711,291,291,2022-11-17 11:13
Tennessee,17602,6762,6762,2022-11-17 11:13
Texas,50814,43314,43314,2022-11-17 11:13
Texas - Houston,27026,14146,14146,2022-11-17 11:13
Tribal Entities,93,0,0,2022-11-17 11:13
U.S. Virgin Islands,240,180,180,2022-11-17 11:13
Utah,6169,4709,4709,2022-11-17 11:13
Vermont,2006,846,846,2022-11-17 11:13
Virginia,22259,15459,15459,2022-11-17 11:13
Washington,23930,18830,18830,2022-11-17 11:13
West Virginia,2277,1057,1057,2022-11-17 11:13
Wisconsin,5614,4534,4534,2022-11-17 11:13
Wyoming,321,281,281,2022-11-17 11:13
