Jurisdiction,"Total Allocated Vialsas of October 3, 2022 at 12pm","Total Requested as of October 3, 2022 at 12pm","Total Shipped as of October 3, 2022 at 12pm",Last Updated
All Jurisdictions,1091190,836833,836753,2022-10-04 12:18
Alabama,6163,3703,3703,2022-10-04 12:18
Alaska,660,600,600,2022-10-04 12:18
American Samoa,40,40,40,2022-10-04 12:18
Arizona,16433,11633,11633,2022-10-04 12:18
Arkansas,3280,2460,2460,2022-10-04 12:18
California,112309,108189,108189,2022-10-04 12:18
California - Los Angeles,73802,65522,65522,2022-10-04 12:18
Colorado,18145,12805,12805,2022-10-04 12:18
Connecticut,6328,6328,6328,2022-10-04 12:18
Delaware,1895,1415,1415,2022-10-04 12:18
District of Columbia,28995,27415,27415,2022-10-04 12:18
Federated States of Micronesia,20,20,20,2022-10-04 12:18
Florida,112680,74720,74720,2022-10-04 12:18
Georgia,54482,31642,31642,2022-10-04 12:18
Guam,120,80,80,2022-10-04 12:18
Hawaii,3852,3192,3192,2022-10-04 12:18
Idaho,2000,1360,1360,2022-10-04 12:18
Illinois,19198,14298,14298,2022-10-04 12:18
Illinois - Chicago,50469,40109,40109,2022-10-04 12:18
Indiana,11872,7812,7812,2022-10-04 12:18
Iowa,2441,1901,1901,2022-10-04 12:18
Kansas,2156,1656,1656,2022-10-04 12:18
Kentucky,6140,3780,3780,2022-10-04 12:18
Louisiana,11882,8862,8862,2022-10-04 12:18
Maine,1411,1091,1091,2022-10-04 12:18
Mariana Islands,0,40,40,2022-10-04 12:18
Marshall Islands,20,20,20,2022-10-04 12:18
Maryland,23299,14539,14539,2022-10-04 12:18
Massachusetts,24171,18311,18311,2022-10-04 12:18
Michigan,14318,9378,9378,2022-10-04 12:18
Minnesota,10658,6958,6958,2022-10-04 12:18
Mississippi,3161,1821,1821,2022-10-04 12:18
Missouri,9073,6053,6053,2022-10-04 12:18
Montana,778,478,478,2022-10-04 12:18
Nebraska,1641,1421,1421,2022-10-04 12:18
Nevada,8642,6062,6062,2022-10-04 12:18
New Hampshire,1467,1067,1067,2022-10-04 12:18
New Jersey,22269,16149,16149,2022-10-04 12:18
New Mexico,3436,2896,2896,2022-10-04 12:18
New York,43375,34695,34695,2022-10-04 12:18
New York - New York City,118444,103104,103104,2022-10-04 12:18
North Carolina,20288,16528,16528,2022-10-04 12:18
North Dakota,555,375,375,2022-10-04 12:18
Northern Mariana Islands,60,0,0,2022-10-04 12:18
Ohio,18713,12573,12573,2022-10-04 12:18
Oklahoma,5316,4756,4756,2022-10-04 12:18
Oregon,11498,9778,9698,2022-10-04 12:18
Palau,20,20,20,2022-10-04 12:18
Pennsylvania,16747,13171,13171,2022-10-04 12:18
Pennsylvania - Philadelphia,10638,6630,6630,2022-10-04 12:18
Puerto Rico,5367,2807,2807,2022-10-04 12:18
Rhode Island,4014,2774,2774,2022-10-04 12:18
South Carolina,6387,4287,4287,2022-10-04 12:18
South Dakota,1711,291,291,2022-10-04 12:18
Tennessee,17602,6762,6762,2022-10-04 12:18
Texas,50814,43314,43314,2022-10-04 12:18
Texas - Houston,27026,14146,14146,2022-10-04 12:18
Tribal Entities,93,0,0,2022-10-04 12:18
U.S. Virgin Islands,240,180,180,2022-10-04 12:18
Utah,6169,4449,4449,2022-10-04 12:18
Vermont,2006,846,846,2022-10-04 12:18
Virginia,22259,15339,15339,2022-10-04 12:18
Washington,23930,18430,18430,2022-10-04 12:18
West Virginia,2277,1057,1057,2022-10-04 12:18
Wisconsin,5614,4454,4454,2022-10-04 12:18
Wyoming,321,241,241,2022-10-04 12:18
