Jurisdiction,"Total Allocated Vialsas of Nov 28 2022, 12pm","Total Requested as of Nov 28 2022, 12pm","Total Shipped as of Nov 28 2022, 12pm",Last Updated
All Jurisdictions,1091630,855873,855693,2022-12-04 11:11
Alabama,6163,4523,4523,2022-12-04 11:11
Alaska,660,600,600,2022-12-04 11:11
American Samoa,40,40,40,2022-12-04 11:11
Arizona,16433,12173,12173,2022-12-04 11:11
Arkansas,3280,2460,2460,2022-12-04 11:11
California,112309,114189,114189,2022-12-04 11:11
California - Los Angeles,73802,65522,65522,2022-12-04 11:11
Colorado,18145,12805,12805,2022-12-04 11:11
Connecticut,6328,6328,6328,2022-12-04 11:11
Delaware,1895,1655,1655,2022-12-04 11:11
District of Columbia,28995,27415,27415,2022-12-04 11:11
Federated States of Micronesia,20,20,20,2022-12-04 11:11
Florida,112680,74720,74720,2022-12-04 11:11
Georgia,54482,33522,33522,2022-12-04 11:11
Guam,120,80,80,2022-12-04 11:11
Hawaii,3872,3272,3272,2022-12-04 11:11
Idaho,2000,1380,1380,2022-12-04 11:11
Illinois,19198,15298,15298,2022-12-04 11:11
Illinois - Chicago,50469,40629,40629,2022-12-04 11:11
Indiana,11872,7812,7812,2022-12-04 11:11
Iowa,2441,1921,1921,2022-12-04 11:11
Kansas,2156,2156,2156,2022-12-04 11:11
Kentucky,6140,4100,4100,2022-12-04 11:11
Louisiana,11882,8862,8862,2022-12-04 11:11
Maine,1411,1291,1291,2022-12-04 11:11
Marshall Islands,20,20,20,2022-12-04 11:11
Maryland,23299,14539,14539,2022-12-04 11:11
Massachusetts,24451,18591,18591,2022-12-04 11:11
Michigan,14318,9818,9818,2022-12-04 11:11
Minnesota,10658,8118,8058,2022-12-04 11:11
Mississippi,3241,1821,1821,2022-12-04 11:11
Missouri,9073,6053,6053,2022-12-04 11:11
Montana,778,478,478,2022-12-04 11:11
Nebraska,1641,1421,1421,2022-12-04 11:11
Nevada,8682,7402,7402,2022-12-04 11:11
New Hampshire,1467,1187,1187,2022-12-04 11:11
New Jersey,22269,16149,16149,2022-12-04 11:11
New Mexico,3436,3016,3016,2022-12-04 11:11
New York,43375,34695,34695,2022-12-04 11:11
New York - New York City,118444,103104,103104,2022-12-04 11:11
North Carolina,20288,16688,16688,2022-12-04 11:11
North Dakota,555,435,435,2022-12-04 11:11
Northern Mariana Islands,60,40,40,2022-12-04 11:11
Ohio,18713,12573,12573,2022-12-04 11:11
Oklahoma,5316,4756,4756,2022-12-04 11:11
Oregon,11498,10838,10838,2022-12-04 11:11
Palau,20,20,20,2022-12-04 11:11
Pennsylvania,16747,13831,13731,2022-12-04 11:11
Pennsylvania - Philadelphia,10638,6630,6630,2022-12-04 11:11
Puerto Rico,5387,3267,3267,2022-12-04 11:11
Rhode Island,4014,2774,2774,2022-12-04 11:11
South Carolina,6387,4287,4287,2022-12-04 11:11
South Dakota,1711,291,291,2022-12-04 11:11
Tennessee,17602,6762,6762,2022-12-04 11:11
Texas,50814,43314,43314,2022-12-04 11:11
Texas - Houston,27026,14146,14146,2022-12-04 11:11
Tribal Entities,93,0,0,2022-12-04 11:11
U.S. Virgin Islands,240,180,180,2022-12-04 11:11
Utah,6169,4709,4709,2022-12-04 11:11
Vermont,2006,846,846,2022-12-04 11:11
Virginia,22259,15459,15459,2022-12-04 11:11
Washington,23930,18970,18950,2022-12-04 11:11
West Virginia,2277,1057,1057,2022-12-04 11:11
Wisconsin,5614,4534,4534,2022-12-04 11:11
Wyoming,321,281,281,2022-12-04 11:11
